"Mosswart Kin";"1";"1";"0";"2";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sparring Golem";"1";"1";"0";"0";"0";"0";"0";"1.1";"1.1";"1.1";"1.1";"1.1";"1.1";"1.1";"0.9";"0.9";"0.9";"0.9";"0.9";"0.9";"0.9"
"Drudge Skulker";"2";"1";"0";"1";"0";"1";"18";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Carenzi Pouchling";"2";"1";"0";"2";"2";"34";"36";"0.9";"1.2";"0.8";"1";"0.6";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Grievver Spawn";"2";"1";"0";"2";"0";"0";"0";"0.05";"0.05";"0.05";"0.05";"0.05";"0.05";"0.05";"1";"1";"1";"1";"1";"1";"1"
"Tunnelling Grievver";"2";"1";"0";"2";"0";"3";"0";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"1";"1";"1";"1";"1";"1";"1"
"Spiny Armoredillo Pup";"2";"1";"0";"2";"2";"0";"39";"0.06";"0.7";"0.8";"0.7";"0.38";"0.33";"0.7";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Gnawer Shrethlet";"2";"1";"0";"2";"2";"0";"35";"0.46";"0.28";"0.8";"3.45";"0.35";"0.8";"0.34";"0.9";"0.9";"1";"0.8";"1.42";"1";"0.85"
"Scavenger Ursuin Cub";"2";"1";"0";"2";"2";"0";"48";"0.12";"0.8";"0.12";"0.12";"0.34";"0.12";"0.12";"0.75";"1";"0.75";"0.86";"0.75";"0.75";"0.75"
"Drudge Sneaker";"3";"1";"0";"1";"0";"1";"21";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Auroch Yearling";"4";"1";"0";"2";"2";"5";"108";"0.34";"0.18";"0.04";"0.18";"0.7";"0.18";"0.6";"0.86";"0.8";"0.75";"1";"0.8";"0.8";"1"
