"Mosswart Kin";"1";"1";"0";"2";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sparring Golem";"1";"1";"0";"0";"0";"0";"1.1";"1.1";"1.1";"1.1";"1.1";"1.1";"1.1";"0.9";"0.9";"0.9";"0.9";"0.9";"0.9";"0.9"
"Drudge Skulker";"2";"1";"0";"1";"0";"1";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Carenzi Pouchling";"2";"1";"0";"2";"2";"34";"0.9";"1.2";"0.8";"1";"0.6";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Grievver Spawn";"2";"1";"0";"2";"0";"0";"0.05";"0.05";"0.05";"0.05";"0.05";"0.05";"0.05";"1";"1";"1";"1";"1";"1";"1"
"Tunnelling Grievver";"2";"1";"0";"2";"0";"3";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"1";"1";"1";"1";"1";"1";"1"
"Spiny Armoredillo Pup";"2";"1";"0";"2";"2";"0";"0.06";"0.7";"0.8";"0.7";"0.38";"0.33";"0.7";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Gnawer Shrethlet";"2";"1";"0";"2";"2";"0";"0.46";"0.28";"0.8";"3.45";"0.35";"0.8";"0.34";"0.9";"0.9";"1";"0.8";"1.42";"1";"0.85"
"Scavenger Ursuin Cub";"2";"1";"0";"2";"2";"0";"0.12";"0.8";"0.12";"0.12";"0.34";"0.12";"0.12";"0.75";"1";"0.75";"0.86";"0.75";"0.75";"0.75"
"Drudge Sneaker";"3";"1";"0";"1";"0";"1";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Auroch Yearling";"4";"1";"0";"2";"2";"5";"0.34";"0.18";"0.04";"0.18";"0.7";"0.18";"0.6";"0.86";"0.8";"0.75";"1";"0.8";"0.8";"1"
"White Rat";"4";"1";"0";"2";"2";"22";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Spiny Armoredillo";"4";"1";"0";"2";"2";"13";"0.06";"0.7";"0.8";"0.7";"0.38";"0.33";"0.7";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Drudge Prowler";"4";"1";"0";"2";"0";"1";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Gnawer Shreth";"4";"1";"0";"2";"2";"88";"0.46";"0.28";"0.8";"3.45";"0.35";"0.8";"0.34";"0.9";"0.9";"1";"0.8";"1.42";"1";"0.85"
"Tan Rat";"4";"1";"0";"2";"2";"12";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Russet Rat";"4";"1";"0";"2";"2";"41";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Mite Snippet";"4";"1";"0";"2";"2";"4";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Young Mosswart";"4";"1";"0";"2";"2";"16";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Drudge Skulker";"4";"1";"0";"2";"2";"0";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.36";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Flicker";"4";"1";"0";"0";"4";"0";"0.67";"0.9";"0.9";"1";"100";"0.98";"2.15";"0.65";"0.65";"0.65";"0";"1.1";"0.65";"0.65"
"Skeleton";"4";"1";"0";"2";"2";"0";"0.12";"0.55";"0.5";"0.21";"0.59";"0.34";"0.72";"0.75";"0.6";"1";"0.9";"0.65";"0.75";"0.75"
"Static";"4";"1";"0";"0";"4";"0";"0.67";"0.9";"0.9";"0.98";"2.15";"1";"100";"0.65";"0.65";"0.65";"0.65";"0.65";"1.1";"0"
"Shadow Sprite";"4";"1";"0";"0";"4";"4";"1";"0.36";"0.46";"0.54";"1";"0.13";"0.36";"1";"0.85";"0.9";"1";"0.5";"0.65";"0.85"
"Small Shadow Spire Child";"4";"1";"0";"1";"2";"0";"1";"0.61";"0.74";"0.3";"1";"0.38";"0.61";"1";"0.5";"0.67";"1";"0.1";"0.2";"0.5"
